NAME;ECOSYSTEM;SYMBOL
Carbon;BITCOIN;CARBON
LOCGame;BITCOIN;LOCG
Forest Knight;BITCOIN;KNIGHT
CryptoZoon;BITCOIN;ZOON
CryptoBlades;BITCOIN;SKILL
Binamon;BITCOIN;BMON
FaraLand;BITCOIN;FARA
Playermon;BITCOIN;PYM
POLKER;BITCOIN;PKR
Chain of Legends;BITCOIN;CLEG
Mist;BITCOIN;MIST
Wall Street Games (old);BITCOIN;WSG
Binemon;BITCOIN;BIN
My Master War;BITCOIN;MAT
Crabada;BITCOIN;CRA
MetaSoccer;BITCOIN;MSU
RaceFi;BITCOIN;RACEFI
ASPO World;BITCOIN;ASPO
Defina Finance;BITCOIN;FINA
DinoX;BITCOIN;DNXC
Cryptopolis;BITCOIN;CPO
Zuki Moba;BITCOIN;ZUKI
COGI;BITCOIN;COGI
Rune;BITCOIN;RUNE
SolChicks Token;BITCOIN;CHICKS
MetaverseX;BITCOIN;METAX
Decentral Games ICE;BITCOIN;ICE
Bitspawn;BITCOIN;SPWN
BEMIL Coin;BITCOIN;BEM
Step Hero;BITCOIN;HERO
BetU;BITCOIN;BETU
Warena;BITCOIN;RENA
Crypto Sports Network;BITCOIN;CSPN
ETNA Network;BITCOIN;ETNA
CryptoPlanes;BITCOIN;CPAN
Dracula Token;BITCOIN;DRC
Gamer Arena;BITCOIN;GAU
Crypto Gladiator Shards;BITCOIN;CGL
Forgotten Playland;BITCOIN;FP
ECOMI;BITCOIN;OMI
Enjinstarter;BITCOIN;EJS
Arcade;BITCOIN;ARC
Game Meteor Coin;BITCOIN;GMTO
Merit Circle;BITCOIN;MC
KAP Games;BITCOIN;KAP
Magical Blocks;BITCOIN;MBLK
MixMob;BITCOIN;MXM
Sugar Kingdom Odyssey;BITCOIN;SKO
Equilibrium Games;BITCOIN;EQ
CateCoin;BITCOIN;CATE
Metahorse Unity;BITCOIN;MUNITY
GGDApp;BITCOIN;GGTK
Realm;BITCOIN;REALM
Gold Fever;BITCOIN;NGL
Raini Studios Token;BITCOIN;RST
Planet Sandbox;BITCOIN;PSB
Bullieverse;BITCOIN;$BULL
BattleVerse;BITCOIN;BVC
DeFi Warrior (FIWA);BITCOIN;FIWA
Derby Stars;BITCOIN;DSRUN
The Winkyverse;BITCOIN;WNK
MEGAWEAPON;BITCOIN;WEAPON
Metastrike;BITCOIN;MTS
Space Misfits;BITCOIN;SMCW
BlockchainSpace;BITCOIN;GUILD
Web3Games.com;BITCOIN;WGT
Meta Masters Guild Games;BITCOIN;MEMAGX
Arcas;BITCOIN;ARCAS
Solice;BITCOIN;SLC
Anima Spirit Gem;BITCOIN;ASG
Sipher;BITCOIN;SIPHER
Champz;BITCOIN;CHAMPZ
Hydraverse;BITCOIN;HDV
Titanium22;BITCOIN;TI
CryptoMines;BITCOIN;ETERNAL
Hero Arena;BITCOIN;HERA
Nomad Exiles;BITCOIN;PRIDE
xPET tech BPET;BITCOIN;BPET
Snook;BITCOIN;SNK
StarSharks (SSS);BITCOIN;SSS
Pegaxy;BITCOIN;PGX
Bezoge Earth;BITCOIN;BEZOGE
PECland;BITCOIN;PECL
TCGCoin 2.0;BITCOIN;TCG2
TryHards;BITCOIN;TRYHARDS
TTcoin;BITCOIN;TC
Metarun;BITCOIN;MRUN
Memes vs Undead;BITCOIN;MVU
Kryxivia;BITCOIN;KXA
MetaGods;BITCOIN;MGOD
Moonscape;BITCOIN;MSCP
Mechanium;BITCOIN;MECHA
Ainu Token;BITCOIN;AINU
Carmin;BITCOIN;CARMIN
Bit Hotel;BITCOIN;BTH
ChainCade;BITCOIN;CHAINCADE
HappyLand;BITCOIN;HPL
Flare Token;BITCOIN;1FLR
Monsterra (MAG);BITCOIN;MAG
Wanaka Farm;BITCOIN;WANA
Medamon;BITCOIN;MON
Magic Beasties;BITCOIN;BSTS
Waves Ducks;BITCOIN;EGG
World of Defish;BITCOIN;WOD
Age of Tanks;BITCOIN;A.O.T
Capverse;BITCOIN;CAP
EZZY GAME;BITCOIN;EZY
Cool Cats MILK;BITCOIN;MILK
Vault Hill City;BITCOIN;VHC
Mech Master;BITCOIN;MECH
Fancy Games;BITCOIN;FNC
DoragonLand;BITCOIN;DOR
Beam;BITCOIN;BEAM
Gala;BITCOIN;GALA
FLOKI;BITCOIN;FLOKI
Axie Infinity;BITCOIN;AXS
The Sandbox;BITCOIN;SAND
Decentraland;BITCOIN;MANA
WEMIX;BITCOIN;WEMIX
Illuvium;BITCOIN;ILV
Pixels;BITCOIN;PIXEL
Yield Guild Games;BITCOIN;YGG
WAX;BITCOIN;WAXP
GuildFi;BITCOIN;GF
Guild of Guardians;BITCOIN;GOG
Seedify.fund;BITCOIN;SFUND
Smooth Love Potion;BITCOIN;SLP
Nakamoto Games;BITCOIN;NAKA
XYO;BITCOIN;XYO
Victoria VR;BITCOIN;VR
Aavegotchi;BITCOIN;GHST
MOBOX;BITCOIN;MBOX
RACA;BITCOIN;RACA
XPLA;BITCOIN;XPLA
Mines of Dalarnia;BITCOIN;DAR
GameFi.org;BITCOIN;GAFI
MyNeighborAlice;BITCOIN;ALICE
SIDUS;BITCOIN;SIDUS
Star Atlas;BITCOIN;ATLAS
Star Atlas DAO;BITCOIN;POLIS
Boson Protocol;BITCOIN;BOSON
Alien Worlds;BITCOIN;TLM
Gods Unchained;BITCOIN;GODS
Games for a Living;BITCOIN;GFAL
Cornucopias;BITCOIN;COPI
DEAPcoin;BITCOIN;DEP
Voxies;BITCOIN;VOXEL
Aurory;BITCOIN;AURY
Biswap;BITCOIN;BSW
BADMAD ROBOTS;BITCOIN;METAL
Katana Inu;BITCOIN;KATA
QORPO WORLD;BITCOIN;QORPO
Creo Engine;BITCOIN;CREO
VIDT DAO;BITCOIN;VIDT
DeRace;BITCOIN;DERC
UFO Gaming;BITCOIN;UFO
Volt Inu;BITCOIN;VOLT
WAGMI Games;BITCOIN;WAGMIGAMES
ParagonsDAO;BITCOIN;PDT
Splintershards;BITCOIN;SPS
Metacade;BITCOIN;MCADE
REVV;BITCOIN;REVV
Affyn;BITCOIN;FYN
GAMEE;BITCOIN;GMEE
SENATE;BITCOIN;SENATE
Decimated;BITCOIN;DIO
WeWay;BITCOIN;WWY
PlayZap;BITCOIN;PZP
MagicCraft;BITCOIN;MCRT
Netvrk;BITCOIN;NETVR
Bag;BITCOIN;BAG
Rainbow Token;BITCOIN;RBW
Aether Games;BITCOIN;AEG
Blink Galaxy;BITCOIN;GQ
Captain Tsubasa;BITCOIN;TSUGT
UNKJD;BITCOIN;MBS
Cryowar;BITCOIN;CWAR
X World Games;BITCOIN;XWG
Rebel Bots;BITCOIN;RBLS
MARS4;BITCOIN;MARS4
Dotmoovs;BITCOIN;MOOV
DOGAMÍ;BITCOIN;DOGA
Xaya;BITCOIN;CHI
Exeedme;BITCOIN;XED
Battle World;BITCOIN;BWO
Revomon;BITCOIN;REVO
CropBytes;BITCOIN;CBX
Fabwelt;BITCOIN;WELT
SHILL Token;BITCOIN;SHILL
ChainGuardians;BITCOIN;CGG
Heroes Chained;BITCOIN;HEC
Ertha;BITCOIN;ERTHA
RealFevr;BITCOIN;FEVR
Monsta Infinite;BITCOIN;MONI
Seascape Crowns;BITCOIN;CWS
FEAR;BITCOIN;FEAR
TenUp;BITCOIN;TUP
XCarnival;BITCOIN;XCV
ZooKeeper;BITCOIN;ZOO
Kryptomon;BITCOIN;KMON
Monsterra (MSTR);BITCOIN;MSTR
Polychain Monsters;BITCOIN;PMON
Blockchain Monster Hunt;BITCOIN;BCMC
Revolve Games;BITCOIN;RPG
Eldarune;BITCOIN;ELDA
The Unfettered Ecosystem;BITCOIN;SOULS
MetaFighter;BITCOIN;MF
SafeMoon Inu;BITCOIN;SMI
Nemesis Downfall;BITCOIN;ND
Salad;BITCOIN;SALD
Elemon;BITCOIN;ELMON
Token IN;BITCOIN;TIN
Bitcoin;BITCOIN;BTC
Bitcoin Cash;BITCOIN;BCH
Internet Computer;BITCOIN;ICP
Stacks;BITCOIN;STX
Bitcoin SV;BITCOIN;BSV
ORDI;BITCOIN;ORDI
Bitcoin Gold;BITCOIN;BTG
Qtum;BITCOIN;QTUM
Threshold;BITCOIN;T
ZetaChain;BITCOIN;ZETA
Wrapped Bitcoin;BITCOIN;WBTC
Bitcoin BEP2;BITCOIN;BTCB
ALEX Lab;BITCOIN;ALEX
Huobi BTC;BITCOIN;HBTC
Rootstock Infrastructure Framework;BITCOIN;RIF
Rootstock Smart Bitcoin;BITCOIN;RBTC
Multibit;BITCOIN;MUBI
Bitcoin Wizards;BITCOIN;WZRD
Covalent;BITCOIN;CQT
Sovryn;BITCOIN;SOV
MAP Protocol;BITCOIN;MAPO
Badger DAO;BITCOIN;BADGER
LeverFi;BITCOIN;LEVER
Ren;BITCOIN;REN
trac (Ordinals);BITCOIN;TRAC
Circuits of Value;BITCOIN;COVAL
Lumerin;BITCOIN;LMR
Orange;BITCOIN;ORNJ
Bitcoin Diamond;BITCOIN;BCD
renBTC;BITCOIN;RENBTC
Coinweb;BITCOIN;CWEB
BeFi Labs;BITCOIN;BEFI
Bitcoin 2;BITCOIN;BTC2
OXBT (Ordinals);BITCOIN;OXBT
Bitcoin Standard Hashrate Token;BITCOIN;BTCST
ChainX;BITCOIN;PCX
Interlay;BITCOIN;INTR
pNetwork;BITCOIN;PNT
Zeus Network;BITCOIN;ZEUS
Bitcoin Cats;BITCOIN;1CAT
SatoshiVM;BITCOIN;SAVM
BRC20.com;BITCOIN;.COM
PIZA (Ordinals);BITCOIN;PIZA
BitStable;BITCOIN;BSSB
tBTC;BITCOIN;TBTC
PEPE (Ordinals);BITCOIN;PEPEBRC
VMPX (Ordinals);BITCOIN;VMPX
csas (Ordinals);BITCOIN;CSAS
SatoshiSync;BITCOIN;SSNC
Trex20;BITCOIN;TX20
BISOSwap;BITCOIN;BISO
meme (Ordinals);BITCOIN;MEME
NALS (Ordinals);BITCOIN;NALS
Welshcorgicoin;BITCOIN;WELSH
LFG;BITCOIN;LFG
BANK (Ordinals);BITCOIN;BANK
OSHI;BITCOIN;OSHI
NOOT (Ordinals);BITCOIN;NOOT
Grumpy (Ordinals);BITCOIN;GRUM
Drac (Ordinals);BITCOIN;DRAC
$BSV (Ordinals);BITCOIN;$BSV
Kintsugi;BITCOIN;KINT
The Ordinals Council;BITCOIN;CNCL
zbit;BITCOIN;ZBIT
