NAME;PORTFOLIO;SYMBOL
XRP;Arrington XRP Capital;XRP
Polkadot;Arrington XRP Capital;DOT
NEAR Protocol;Arrington XRP Capital;NEAR
Stacks;Arrington XRP Capital;STX
Immutable;Arrington XRP Capital;IMX
Arweave;Arrington XRP Capital;AR
Algorand;Arrington XRP Capital;ALGO
Wormhole;Arrington XRP Capital;W
Kava;Arrington XRP Capital;KAVA
Oasis Network;Arrington XRP Capital;ROSE
Terra Classic;Arrington XRP Capital;LUNC
SKALE;Arrington XRP Capital;SKL
Enjin Coin;Arrington XRP Capital;ENJ
aelf;Arrington XRP Capital;ELF
Casper;Arrington XRP Capital;CSPR
Propy;Arrington XRP Capital;PRO
Moonbeam;Arrington XRP Capital;GLMR
