NAME;PORTFOLIO;SYMBOL
Bitcoin;CMS Holdings;BTC
Ethereum;CMS Holdings;ETH
Solana;CMS Holdings;SOL
Avalanche;CMS Holdings;AVAX
Polkadot;CMS Holdings;DOT
Injective;CMS Holdings;INJ
Nervos Network;CMS Holdings;CKB
FTX Token;CMS Holdings;FTT
Kusama;CMS Holdings;KSM
Xai;CMS Holdings;XAI
DODO;CMS Holdings;DODO
Perpetual Protocol;CMS Holdings;PERP
Linear Finance;CMS Holdings;LINA
Bonfida;CMS Holdings;FIDA
GameGPT;CMS Holdings;DUEL
UX Chain;CMS Holdings;UX
Serum;CMS Holdings;SRM
Standard;CMS Holdings;STND
Convergence;CMS Holdings;CONV
MAPS;CMS Holdings;MAPS
Opium;CMS Holdings;OPIUM
PowerTrade Fuel;CMS Holdings;PTF
Chainflip;CMS Holdings;FLIP
Jet Protocol;CMS Holdings;JET
BlockchainSpace;CMS Holdings;GUILD
HXRO;CMS Holdings;HXRO
