NAME;PORTFOLIO;SYMBOL
Bitcoin;Multicoin Capital;BTC
Ethereum;Multicoin Capital;ETH
BNB;Multicoin Capital;BNB
Solana;Multicoin Capital;SOL
Internet Computer;Multicoin Capital;ICP
Render;Multicoin Capital;RNDR
The Graph;Multicoin Capital;GRT
Arweave;Multicoin Capital;AR
THORChain;Multicoin Capital;RUNE
Sei;Multicoin Capital;SEI
Algorand;Multicoin Capital;ALGO
Wormhole;Multicoin Capital;W
Nervos Network;Multicoin Capital;CKB
Helium;Multicoin Capital;HNT
Livepeer;Multicoin Capital;LPT
Kadena;Multicoin Capital;KDA
Audius;Multicoin Capital;AUDIO
CyberConnect;Multicoin Capital;CYBER
Keep Network;Multicoin Capital;KEEP
Huobi Token;Multicoin Capital;HT
Stella;Multicoin Capital;ALPHA
Perpetual Protocol;Multicoin Capital;PERP
Beta Finance;Multicoin Capital;BETA
RabbitX;Multicoin Capital;RBX
Augur;Multicoin Capital;REP
saffron.finance;Multicoin Capital;SFI
Salad;Multicoin Capital;SALD
Realy;Multicoin Capital;REAL
