NAME;PORTFOLIO;SYMBOL
Bitcoin;Pantera Capital;BTC
Ethereum;Pantera Capital;ETH
XRP;Pantera Capital;XRP
Polkadot;Pantera Capital;DOT
Uniswap;Pantera Capital;UNI
Filecoin;Pantera Capital;FIL
Arbitrum;Pantera Capital;ARB
Maker;Pantera Capital;MKR
Injective;Pantera Capital;INJ
Aave;Pantera Capital;AAVE
Oasis Network;Pantera Capital;ROSE
Terra Classic;Pantera Capital;LUNC
Ankr;Pantera Capital;ANKR
Compound;Pantera Capital;COMP
0x Protocol;Pantera Capital;ZRX
Livepeer;Pantera Capital;LPT
FTX Token;Pantera Capital;FTT
