NAME;PORTFOLIO;SYMBOL
Bitcoin;Placeholder Ventures;BTC
Ethereum;Placeholder Ventures;ETH
Polkadot;Placeholder Ventures;DOT
Maker;Placeholder Ventures;MKR
0x Protocol;Placeholder Ventures;ZRX
Zcash;Placeholder Ventures;ZEC
Aragon;Placeholder Ventures;ANT
Decred;Placeholder Ventures;DCR
Balancer;Placeholder Ventures;BAL
UMA;Placeholder Ventures;UMA
API3;Placeholder Ventures;API3
Numeraire;Placeholder Ventures;NMR
Forta;Placeholder Ventures;FORT
Radworks;Placeholder Ventures;RAD
Enzyme;Placeholder Ventures;MLN
