NAME;PORTFOLIO;SYMBOL
Carbon;Play_To_Earn;CARBON
LOCGame;Play_To_Earn;LOCG
Forest Knight;Play_To_Earn;KNIGHT
CryptoZoon;Play_To_Earn;ZOON
CryptoBlades;Play_To_Earn;SKILL
Binamon;Play_To_Earn;BMON
FaraLand;Play_To_Earn;FARA
Playermon;Play_To_Earn;PYM
POLKER;Play_To_Earn;PKR
Chain of Legends;Play_To_Earn;CLEG
Mist;Play_To_Earn;MIST
Wall Street Games (old);Play_To_Earn;WSG
Binemon;Play_To_Earn;BIN
My Master War;Play_To_Earn;MAT
Crabada;Play_To_Earn;CRA
MetaSoccer;Play_To_Earn;MSU
RaceFi;Play_To_Earn;RACEFI
ASPO World;Play_To_Earn;ASPO
Defina Finance;Play_To_Earn;FINA
DinoX;Play_To_Earn;DNXC
Cryptopolis;Play_To_Earn;CPO
Zuki Moba;Play_To_Earn;ZUKI
COGI;Play_To_Earn;COGI
Rune;Play_To_Earn;RUNE
SolChicks Token;Play_To_Earn;CHICKS
MetaverseX;Play_To_Earn;METAX
Decentral Games ICE;Play_To_Earn;ICE
Bitspawn;Play_To_Earn;SPWN
BEMIL Coin;Play_To_Earn;BEM
Step Hero;Play_To_Earn;HERO
BetU;Play_To_Earn;BETU
Warena;Play_To_Earn;RENA
Crypto Sports Network;Play_To_Earn;CSPN
ETNA Network;Play_To_Earn;ETNA
CryptoPlanes;Play_To_Earn;CPAN
Dracula Token;Play_To_Earn;DRC
Gamer Arena;Play_To_Earn;GAU
Crypto Gladiator Shards;Play_To_Earn;CGL
Forgotten Playland;Play_To_Earn;FP
ECOMI;Play_To_Earn;OMI
Enjinstarter;Play_To_Earn;EJS
Arcade;Play_To_Earn;ARC
Game Meteor Coin;Play_To_Earn;GMTO
Merit Circle;Play_To_Earn;MC
KAP Games;Play_To_Earn;KAP
Magical Blocks;Play_To_Earn;MBLK
MixMob;Play_To_Earn;MXM
Sugar Kingdom Odyssey;Play_To_Earn;SKO
Equilibrium Games;Play_To_Earn;EQ
CateCoin;Play_To_Earn;CATE
Metahorse Unity;Play_To_Earn;MUNITY
GGDApp;Play_To_Earn;GGTK
Realm;Play_To_Earn;REALM
Gold Fever;Play_To_Earn;NGL
Raini Studios Token;Play_To_Earn;RST
Planet Sandbox;Play_To_Earn;PSB
Bullieverse;Play_To_Earn;$BULL
BattleVerse;Play_To_Earn;BVC
DeFi Warrior (FIWA);Play_To_Earn;FIWA
Derby Stars;Play_To_Earn;DSRUN
The Winkyverse;Play_To_Earn;WNK
MEGAWEAPON;Play_To_Earn;WEAPON
Metastrike;Play_To_Earn;MTS
Space Misfits;Play_To_Earn;SMCW
BlockchainSpace;Play_To_Earn;GUILD
