top;Nombre;Precio USD;1h%;24h%;7d%;CAP. USD;ACC. CIRCULACION;Symbol;Volumen (24h) USD;Volumen (24h) Tokens;CATEGORY
1050;Robonomics.network;6.54;0.37;0.56;-23.4;10888512.0;1665451.0;XRT;30861.0;4720.0;AI
1057;SENATE;0.096;-0.19;0.5;-21.22;10544140.0;109822392.0;SENATE;79786.0;831180.0;AI
1056;Big Data Protocol;0.2017;0.35;0.14;-20.36;10522378.0;52278856.0;BDP;248287.0;1230849.0;AI
1058;PIBBLE;0.0004805;-0.5;-3.22;-23.71;10515630.0;21913860893.0;PIB;245007.0;509929289.0;AI
1064;Ooki Protocol;0.002281;0.02;-0.75;-29.57;10377404.0;4558586607.0;OOKI;2687294.0;1178281586.0;AI
1074;Lambda;0.006064;0.71;-1.44;-24.59;9986357.0;1646414198.0;LAMB;480675.0;79267665.0;AI
1093;Lossless;0.1676;-0.1;0.34;-23.74;9313597.0;55572672.0;LSS;195569.0;1166680.0;AI
1133;PureFi Protocol;0.1407;0.34;4.92;-16.85;8222135.0;58422831.0;UFI;85154.0;605205.0;AI
1143;Lithium;0.001543;0.31;-5.59;-3.74;8095600.0;5242220240.0;LITH;750743.0;486527661.0;AI
1146;UnMarshal;0.1589;-0.23;-1.78;-28.73;8071166.0;50655268.0;MARSH;592063.0;3725526.0;AI
1179;Lush AI;0.001549;0.67;1.71;-50.4;7395825.0;4773886658.0;LUSH;12797.0;8260426.0;AI
1194;Presearch;0.01761;0.62;4.67;-15.65;6964134.0;396578435.0;PRE;96743.0;5494463.0;AI
1196;Ispolink;0.002512;0.93;1.62;-27.2;6942457.0;2756425785.0;ISP;889740.0;354249922.0;AI
1199;Netvrk;0.1366;1.63;1.87;-20.48;6928971.0;50557986.0;NETVR;53979.0;395420.0;AI
1209;Omax Coin;0.000775;-7.35;1.84;-26.43;6718983.0;8667996990.0;OMAX;1784955.0;2303246452.0;AI
1238;Effect Network;0.02374;0.11;-4.25;-44.68;5987248.0;252168527.0;EFX;34347.0;1446632.0;AI
1260;ClinTex CTi;0.04399;0.17;3.53;-16.63;5478414.0;124445175.0;CTI;261972.0;5953667.0;AI
1277;B-cube.ai;0.1907;0.0;8.76;-15.55;5218381.0;27362329.0;BCUBE;12969.0;68001.0;AI
1331;Uno Re;0.0538;0.28;5.85;-13.31;4193239.0;78242153.0;UNO;463535.0;8616088.0;AI
1336;GNY;0.02077;0.8;3.12;-30.68;3996067.0;192376657.0;GNY;112370.0;5409722.0;AI
