TOKENS;AI;GAMING;MEMES;top;Symbol;1h%;24h%;7d%;Volumen (24h) USD;Volumen (24h) Tokens;ACC. CIRCULACION;CAP. USD;Precio USD;Alameda Research;Arrington XRP Capital;Binance Labs;Blockchain Capital;CMS Holdings;Coinfund;DCG;DeFiance Capital;DWF Labs;eGirl Capital;Fabric Ventures;Fenbushi Capital;Multicoin Capital;Pantera Capital;Paradigm;Placeholder Ventures;Play_To_Earn;Polychain Capital;Three Arrows Capital;USV;BITCOIN;CARDANO;ETHERIUM;SOLANA;TRON;OTHER
Trex20;0;1;0;2918.0;TX20;1.36;-7.86;-43.95;545511.0;10430536.0;21279575.0;1112909.0;0.0523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Sponge;0;0;1;4281.0;$SPONGE;1.41;-56.98;-11.06;36065.0;645864978.0;24651550674.0;1376554.0;5,58E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Heroes Chained;0;1;0;1459.0;HEC;0.66;-0.38;-36.0;216957.0;4132362.0;49153913.0;2580673.0;0.0525;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Crypton;0;1;0;1371.0;CRP;0.05;0.03;9.78;582055.0;1600068.0;9768314.0;3553124.0;0.3638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Ring AI;1;0;0;3389.0;RING;-1.2;-0.65;-2.86;180382.0;612863.0;100000000.0;29432666.0;0.2943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
dogwifsaudihat;0;0;1;2502.0;WIFSA;8.66;-45.59;-86.6;6522205.0;16975973519.0;1000000000.0;384202.0;0.0003842;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AimBot AI;1;0;0;3883.0;AIMBOT;1.11;-0.43;-26.94;76325.0;19640.0;1000000.0;3886147.0;3.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Kermit;0;0;1;2864.0;KERMIT;16.36;161.28;230.95;676963.0;1070248302.0;1000000000.0;632529.0;0.0006325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Based Street Bets;0;0;1;4260.0;BSB;3.47;-30.54;-26.87;37466.0;9845651735.0;100000000000.0;380537.0;3,81E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Victoria VR;1;1;0;401.0;VR;1.06;4.64;-26.35;1513608.0;72013119.0;5336247368.0;112742621.0;0.02113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
Idena;1;0;0;1565.0;IDNA;2.26;-0.17;-20.0;54300.0;2009944.0;66300850.0;1779939.0;0.02702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Interns;0;0;1;6287.0;INTERN;0.0;-2.2;-18.41;793.0;7166037.0;1000000000.0;110696.0;0.0001107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
cat in a dogs world;0;0;1;140.0;MEW;1.28;-9.17;24.06;187854501.0;37077032598.0;88888888888.0;454606730.0;0.005109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Shrapnel;0;1;0;646.0;SHRAP;0.47;-4.13;-23.86;2765371.0;15389427.0;240900741.0;43314969.0;0.1798;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CUDOS;1;1;0;421.0;CUDOS;-0.84;3.23;-18.63;930608.0;52942749.0;5843157717.0;102571898.0;0.01756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Pundu;0;0;1;2503.0;PUNDU;1.07;5.61;-34.28;6412661.0;455001446.0;995917144.0;14036172.0;0.01409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Aleph.im;1;0;0;694.0;ALEPH;0.95;-4.81;-29.03;1290177.0;8670265.0;247220482.0;36757960.0;0.1491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Hemule;0;0;1;2942.0;HEMULE;0.74;47.3;-1.13;510793.0;36896509.0;1000000000.0;13843951.0;0.01384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
SingularityNET;1;0;0;73.0;AGIX;-0.0;5.42;-2.66;134400261.0;153313029.0;1282094972.0;1122538514.0;0.8755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Shiba inu;0;0;1;11.0;SHIB;0.3;2.38;-17.71;472736873.0;20920001749143.0;589289410812691.0;13337602861.0;2,26E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Gambit;0;1;0;5687.0;GAMBIT;-3.54;-6.45;-7.24;3061.0;997700991.0;100000000000.0;306793.0;3,07E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Roost Coin;0;0;1;2596.0;ROOST;0.07;-1.95;-35.45;2434955.0;79314362.0;1000000000.0;30700052.0;0.0307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Etherpets;0;1;0;5264.0;EPETS;0.0;-0.93;-1.54;7636.0;940142.0;100000000.0;812243.0;0.008122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
FOMOSolana;0;0;1;5026.0;FOMO;1.7;3.3;-6.65;12320.0;225375.0;99999962.0;5466494.0;0.05466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SHEBOSHIS;0;0;1;4654.0;SHEB;-0.55;40.45;-30.13;20455.0;8159608023.0;420690000000.0;1054622.0;2,51E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
CAPYBARA;0;0;1;5521.0;CAPY;-6.59;-30.73;-46.54;4401.0;320664459.0;999993317.0;13725.0;1,37E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
UnMarshal;1;0;0;1146.0;MARSH;-0.23;-1.78;-28.73;592063.0;3725526.0;50655268.0;8071166.0;0.1589;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FIDO;0;0;1;6271.0;FIDO;0.0;-4.67;-9.6;828.0;29133492.0;10000000000.0;284285.0;2,84E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Calcium;0;0;1;3123.0;CAL;-2.07;8.13;-23.53;323487.0;24135261.0;420690000.0;5638549.0;0.01344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Lossless;1;0;0;1093.0;LSS;-0.1;0.34;-23.74;195569.0;1166680.0;55572672.0;9313597.0;0.1676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Satoshi Nakamoto;0;0;1;5231.0;SATOSHI;0.0;1.01;-9.13;8343.0;7339.0;2100000.0;2387222.0;1.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
AstroPepeX;0;0;1;2674.0;APX;-3.42;-0.45;-28.19;1488184.0;12671448118.0;65000000000.0;7633851.0;0.0001174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Oasys;0;1;0;349.0;OAS;0.33;2.01;-18.02;1257419.0;19337721.0;2080304978.0;135721204.0;0.06523;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Catboy;0;1;0;2749.0;CATBOY;0.56;1.13;-17.17;1051303.0;13075068.0;100000000.0;8040518.0;0.08049;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Bonk;0;0;1;82.0;BONK;0.97;3.7;-32.23;90303722.0;6145486132838.0;65191332386576.0;959301936.0;1,47E-02;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Amaterasu Omikami;0;0;1;4312.0;OMIKAMI;2.22;1.7;32.25;34382.0;9912783.0;999486023.0;3466649.0;0.003468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Shina Inu;0;0;1;1140.0;SHI;1.23;8.89;-16.15;1045788.0;1572481020391.0;12215422502184.0;8123018.0;6.65e-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XRP;0;0;1;1954.0;XRP;0.01;-0.35;-19.04;2182.0;513074.0;81597516.0;347054.0;0.004254;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
