;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1050;Robonomics.network XRT;$6.54;+0.37%;+0.56%;-23.40%;$10.89M $10,888,512;$30,861 4,720 XRT;1,665,451 XRT
1;1057;SENATE SENATE;$0.096;-0.19%;+0.50%;-21.22%;$10.54M $10,544,140;$79,786 831,180 SENATE;109,822,392 SENATE
2;1056;Big Data Protocol BDP;$0.2017;+0.35%;+0.14%;-20.36%;$10.52M $10,522,378;$248,287 1,230,849 BDP;52,278,856 BDP
3;1058;PIBBLE PIB;$0.0004805;-0.50%;-3.22%;-23.71%;$10.52M $10,515,630;$245,007 509,929,289 PIB;21,913,860,893 PIB
4;1064;Ooki Protocol OOKI;$0.002281;+0.02%;-0.75%;-29.57%;$10.38M $10,377,404;$2,687,294 1,178,281,586 OOKI;4,558,586,607 OOKI
5;1074;Lambda LAMB;$0.006064;+0.71%;-1.44%;-24.59%;$9.99M $9,986,357;$480,675 79,267,665 LAMB;1,646,414,198 LAMB
6;1093;Lossless LSS;$0.1676;-0.10%;+0.34%;-23.74%;$9.31M $9,313,597;$195,569 1,166,680 LSS;55,572,672 LSS
7;1133;PureFi Protocol UFI;$0.1407;+0.34%;+4.92%;-16.85%;$8.22M $8,222,135;$85,154 605,205 UFI;58,422,831 UFI
8;1143;Lithium LITH;$0.001543;+0.31%;-5.59%;-3.74%;$8.1M $8,095,600;$750,743 486,527,661 LITH;5,242,220,240 LITH
9;1146;UnMarshal MARSH;$0.1589;-0.23%;-1.78%;-28.73%;$8.07M $8,071,166;$592,063 3,725,526 MARSH;50,655,268 MARSH
10;1179;Lush AI LUSH;$0.001549;+0.67%;+1.71%;-50.40%;$7.4M $7,395,825;$12,797 8,260,426 LUSH;4,773,886,658 LUSH
11;1194;Presearch PRE;$0.01761;+0.62%;+4.67%;-15.65%;$6.96M $6,964,134;$96,743 5,494,463 PRE;396,578,435 PRE
12;1196;Ispolink ISP;$0.002512;+0.93%;+1.62%;-27.20%;$6.94M $6,942,457;$889,740 354,249,922 ISP;2,756,425,785 ISP
13;1199;Netvrk NETVR;$0.1366;+1.63%;+1.87%;-20.48%;$6.93M $6,928,971;$53,979 395,420 NETVR;50,557,986 NETVR
14;1209;Omax Coin OMAX;$0.000775;-7.35%;+1.84%;-26.43%;$6.72M $6,718,983;$1,784,955 2,303,246,452 OMAX;8,667,996,990 OMAX
15;1238;Effect Network EFX;$0.02374;+0.11%;-4.25%;-44.68%;$5.99M $5,987,248;$34,347 1,446,632 EFX;252,168,527 EFX
16;1260;ClinTex CTi CTI;$0.04399;+0.17%;+3.53%;-16.63%;$5.48M $5,478,414;$261,972 5,953,667 CTI;124,445,175 CTI
17;1277;B-cube.ai BCUBE;$0.1907;+0.00%;+8.76%;-15.55%;$5.22M $5,218,381;$12,969 68,001 BCUBE;27,362,329 BCUBE
18;1331;Uno Re UNO;$0.0538;+0.28%;+5.85%;-13.31%;$4.19M $4,193,239;$463,535 8,616,088 UNO;78,242,153 UNO
19;1336;GNY GNY;$0.02077;+0.80%;+3.12%;-30.68%;$4M $3,996,067;$112,370 5,409,722 GNY;192,376,657 GNY
20;1337;Dotmoovs MOOV;$0.005413;+2.28%;-1.28%;-31.27%;$3.96M $3,956,114;$924,008 169,147,031 MOOV;731,180,094 MOOV
21;1340;AXIS Token AXIS;$0.01241;+0.04%;+0.90%;+17.31%;$3.97M $3,973,906;$205 16,555 AXIS;320,303,188 AXIS
22;1360;ROOBEE ROOBEE;$0.0009096;-0.16%;+5.93%;-18.58%;$3.73M $3,731,161;$108,417 119,197,177 ROOBEE;4,102,063,740 ROOBEE
23;1384;ApeBond ABOND;$0.02344;+1.07%;-1.04%;-22.93%;$3.38M $3,381,994;$62,261 2,655,691 ABOND;144,282,792 ABOND
24;1413;DxChain Token DX;$0.00006193;-0.08%;-2.68%;-11.93%;$3.09M $3,094,068;$14,695 237,265,496 DX;50,000,000,000 DX
25;1452;Aimedis (new) AIMX;$0.007992;+1.81%;+10.14%;-9.86%;$2.66M $2,659,074;$201,988 25,274,196 AIMX;333,000,000 AIMX
26;1462;Mozaic MOZ;$0.02774;+0.47%;+0.63%;-30.84%;$2.59M $2,588,236;$10,401 374,887 MOZ;93,182,632 MOZ
27;1540;GoCrypto Token GOC;$0.00793;+0.25%;-0.58%;-1.46%;$1.94M $1,944,414;$330,999 41,741,179 GOC;245,278,438 GOC
28;1542;LBRY Credits LBC;$0.002967;-0.41%;-2.47%;-10.90%;$1.94M $1,940,984;$6,179 2,082,576 LBC;654,237,215 LBC
29;1565;Idena IDNA;$0.02702;+2.26%;-0.17%;-20.00%;$1.78M $1,779,939;$54,300 2,009,944 IDNA;66,300,850 IDNA
30;1571;Deri Protocol DERI;$0.01412;-0.04%;+0.37%;+5.19%;$1.76M $1,763,467;$58,740 4,161,229 DERI;124,695,829 DERI
31;1582;Cirus Foundation CIRUS;$0.02724;+0.09%;-3.22%;-6.28%;$1.7M $1,703,886;$437,696 16,067,971 CIRUS;62,590,209 CIRUS
32;1602;Bird.Money BIRD;$16.52;+0.02%;+0.54%;-25.58%;$1.57M $1,568,650;$24,322 1,470 BIRD;94,942 BIRD
33;1629;TRAVA.FINANCE TRAVA;$0.0005298;+0.41%;+3.13%;-23.63%;$1.38M $1,378,526;$1,277,953 2,412,033,166 TRAVA;2,601,748,666 TRAVA
34;1646;aiRight AIRI;$0.005129;+0.07%;+3.12%;-15.57%;$1.31M $1,314,561;$200,539 39,102,084 AIRI;256,262,565 AIRI
35;1685;XMON XMON;$746.88;-0.34%;+4.71%;-12.61%;$1.12M $1,116,604;$12,837 17 XMON;1,495 XMON
36;1693;All In ALLIN;$1.14;+0.81%;+2.11%;-18.12%;$1.09M $1,093,354;$162,020 141,738 ALLIN;951,588 ALLIN
37;1714;Arcona ARCONA;$0.06462;-0.07%;+112.66%;+20.01%;$991,065.95 $991,066;$9,455 146,300 ARCONA;15,335,470 ARCONA
38;1745;BullBear AI AIBB;$0.0...04247;+3.92%;+1.47%;-24.10%;$867,995.48 $867,995;$75,817 178,649,808,418,615 AIBB;2,045,833,899,998,990 AIBB
39;1749;Metaverse Face MEFA;$0.00008932;+0.81%;+3.63%;-8.10%;$849,887.26 $849,887;$27,581 306,780,689 MEFA;9,515,523,108 MEFA
40;1766;Artisse CATHEON;$0.0008355;+1.18%;+0.03%;-21.10%;$809,084.33 $809,084;$23,329 27,983,124 CATHEON;968,534,281 CATHEON
41;1832;OceanEx Token OCE;$0.0003409;+0.54%;+2.95%;-14.23%;$609,109.35 $609,109;$92 270,838 OCE;1,788,038,022 OCE
42;1837;Ojamu OJA;$0.005942;-1.88%;+5.49%;+9.74%;$594,201.38 $594,201;$780 131,220 OJA;99,996,080 OJA
43;1860;MetamonkeyAi MMAI;$0.00008676;-0.30%;-3.76%;-11.45%;$529,202.09 $529,202;$39,716 457,261,331 MMAI;6,099,376,989 MMAI
44;1888;TrustVerse TRV;$0.0004819;+0.50%;+2.94%;-20.73%;$481,241.61 $481,242;--;1,000,000,000 TRV
