;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;39;Immutable IMX;$1.98;+0.30%;+4.20%;-22.55%;$2.84B $2,839,201,943;$63,714,307 32,009,998 IMX;1,431,285,079 IMX
1;61;Beam BEAM;$0.02641;+0.40%;+1.52%;-15.32%;$1.4B $1,398,307,513;$33,173,759 1,253,755,155 BEAM;52,951,176,339 BEAM
2;63;Gala GALA;$0.04353;+0.50%;+6.30%;-25.74%;$1.33B $1,326,581,964;$185,636,634 4,255,760,776 GALA;30,493,177,498 GALA
3;64;FLOKI FLOKI;$0.0001382;+0.28%;+1.83%;-28.15%;$1.32B $1,321,986,170;$140,095,291 1,014,302,483,719 FLOKI;9,568,393,313,435 FLOKI
4;74;MultiversX EGLD;$40.69;+0.48%;+0.89%;-21.31%;$1.09B $1,091,647,933;$25,784,729 634,119 EGLD;26,833,769 EGLD
5;78;Axie Infinity AXS;$7.04;+0.57%;+0.38%;-26.12%;$1.01B $1,008,171,160;$41,231,471 5,862,941 AXS;143,344,859 AXS
6;80;The Sandbox SAND;$0.4386;+0.76%;+0.46%;-28.11%;$987.42M $987,423,537;$100,430,938 229,197,420 SAND;2,251,731,926 SAND
7;81;Ronin RON;$3.14;+0.80%;+0.04%;-14.61%;$984.26M $984,259,654;$16,541,492 ron 5,278,817;313,678,521 RON
8;97;Decentraland MANA;$0.4341;+0.45%;+0.28%;-28.93%;$828.35M $828,346,037;$59,747,785 137,744,570 MANA;1,908,319,865 MANA
9;100;ApeCoin APE;$1.25;+1.04%;+3.71%;-22.84%;$756.46M $756,462,975;$60,971,446 48,724,069 APE;604,895,833 APE
10;107;Echelon Prime PRIME;$18.93;+0.02%;+8.83%;-12.71%;$677.2M $677,201,324;$13,726,385 726,140 PRIME;35,773,841 PRIME
11;128;WEMIX WEMIX;$1.48;+0.29%;+2.71%;-27.42%;$525.21M $525,212,178;$4,532,189 3,066,666 WEMIX;356,423,353 WEMIX
12;133;SKALE SKL;$0.09422;+0.81%;+1.18%;-17.58%;$502.51M $502,508,753;$43,337,481 459,961,851 SKL;5,339,102,671 SKL
13;135;SuperVerse SUPER;$0.9725;+0.05%;+3.28%;-9.53%;$474.36M $474,359,814;$12,698,067 13,056,750 SUPER;487,776,093 SUPER
14;138;GMT GMT;$0.2373;+1.28%;+0.32%;-16.79%;$460.13M $460,134,777;$67,551,234 284,674,513 GMT;1,938,798,778 GMT
15;141;Enjin Coin ENJ;$0.3268;+1.50%;+2.25%;-26.50%;$449.69M $449,692,723;$18,944,680 57,963,874 ENJ;1,379,841,766 ENJ
16;181;Illuvium ILV;$92.05;+1.42%;+5.28%;-26.11%;$347.4M $347,400,936;$14,065,571 152,801 ILV;3,767,377 ILV
17;191;Pixels PIXEL;$0.4077;+1.79%;+2.85%;-38.59%;$314.16M $314,160,513;$51,870,822 127,064,163 PIXEL;771,041,667 PIXEL
18;194;Saga SAGA;$3.43;+2.68%;-2.59%;-34.07%;$308.28M $308,280,907;$136,816,141 39,700,027 SAGA;90,000,000 SAGA
19;196;Yield Guild Games YGG;$0.8296;+2.15%;-0.37%;-33.87%;$299.9M $299,903,041;$58,943,478 71,181,765 YGG;361,785,359 YGG
20;240;Chromia CHR;$0.3039;+0.78%;-0.09%;-22.13%;$246.94M $246,935,019;$8,990,226 29,612,029 CHR;812,434,439 CHR
21;245;Kadena KDA;$0.8823;-0.28%;+0.66%;-27.12%;$238.83M $238,830,909;$8,139,476 9,188,623 KDA;270,878,235 KDA
