;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;10;Cardano ADA;$0.4589;+0.48%;-2.47%;-21.77%;$16.35B $16,345,725,477;$412,004,534 913,807,158 ADA;35,622,646,899 ADA
1;16;Chainlink LINK;$13.94;+0.94%;+5.17%;-20.40%;$8.18B $8,181,654,584;$348,658,659 25,583,752 LINK;587,099,970 LINK
2;75;SingularityNET AGIX;$0.8462;-0.10%;+3.63%;-18.38%;$1.08B $1,084,851,267;$98,541,964 117,245,417 AGIX;1,282,094,972 AGIX
3;106;Nexo NEXO;$1.21;-0.77%;+0.11%;-15.11%;$679.54M $679,542,782;$4,809,255 3,943,825 NEXO;560,000,011 NEXO
4;280;API3 API3;$2.32;+0.06%;+2.04%;-27.34%;$200.48M $200,476,023;$11,347,763 4,974,037 API3;86,421,978 API3
5;301;COTI COTI;$0.1123;+1.21%;+3.41%;-25.95%;$175.77M $175,766,607;$8,825,201 79,369,710 COTI;1,572,639,906 COTI
6;332;World Mobile Token WMT;$0.3133;+4.78%;+6.82%;-16.24%;$154.3M $154,301,706;$2,542,731 8,300,621 WMT;491,838,755 WMT
7;378;Ergo ERG;$1.60;+1.40%;+15.20%;-4.80%;$119.88M $119,882,789;$392,958 244,920 ERG;74,713,539 ERG
8;529;Snek SNEK;$0.0009558;+0.46%;+14.96%;-17.11%;$69.7M $69,700,236;$1,561,179 1,769,019,212 SNEK;73,235,343,051 SNEK
9;534;LimeWire LMWR;$1.05;-0.04%;-0.93%;-18.47%;$65.06M $65,058,305;$4,626,462 4,521,889 LMWR;62,352,281 LMWR
10;589;Cornucopias COPI;$0.06254;-0.23%;+1.84%;-20.76%;$53.13M $53,131,156;$534,561 8,595,184 COPI;848,670,162 COPI
11;590;IAGON IAG;$0.1405;+0.44%;+4.03%;-25.22%;$52.87M $52,872,641;$362,049 2,581,658 IAG;376,020,434 IAG
12;765;Minswap MIN;$0.02603;-0.04%;+0.89%;-23.02%;$28.29M $28,294,215;$36,104 1,403,209 MIN;1,082,367,249 MIN
13;790;NuNet NTX;$0.05031;-0.12%;+0.35%;-25.10%;$25.57M $25,565,008;$231,025 4,583,293 NTX;504,084,665 NTX
14;1101;Indigo Protocol INDY;$1.79;-0.40%;-1.65%;-26.27%;$9.3M $9,295,871;$223,609 124,961 INDY;5,144,893 INDY
15;1342;Hosky Token HOSKY;$0.0...01742;+0.81%;+2.47%;-21.38%;$3.99M $3,985,088;$5,743 332,392,741,877 HOSKY;227,999,999,999,931 HOSKY
16;1344;Forj (Bondly) BONDLY;$0.003954;+1.05%;+4.52%;-13.35%;$3.89M $3,893,448;$58,723 14,850,477 BONDLY;983,620,759 BONDLY
17;1388;Djed DJED;$1.00;+0.01%;-1.04%;+0.23%;$3.29M $3,294,133;$165,991 165,402 DJED;3,293,404 DJED
18;1682;KubeCoin KUBE;$0.005919;+0.09%;-0.23%;+6.94%;$1.12M $1,120,000;$103,755 17,549,002 KUBE;189,882,166 KUBE
19;3059;MELD MELD;$0.01526;-0.13%;+4.51%;-16.93%;$57.47M $57,465,765;$354,195 23,311,132 MELD;3,782,071,134 MELD
20;3211;Book.io BOOK;$0.03009;-0.55%;+3.41%;-23.48%;--;$239,042 7,976,062 BOOK;0 BOOK
21;3362;Revuto REVU;$0.01881;+0.49%;-1.53%;-8.22%;$2.54M $2,542,111;$185,831 9,876,945 REVU;135,113,458 REVU
22;3725;Occam.Fi OCC;$0.1953;+0.49%;+0.79%;-20.79%;$4.85M $4,854,270;$101,326 521,667 OCC;24,991,660 OCC
23;3849;Liqwid Finance LQ;$1.69;+4.78%;+1.66%;-28.80%;$582,910.41 $582,910;$78,696 49,277 LQ;365,000 LQ
24;4122;Lenfi LENFI;$0.9086;-1.17%;-2.56%;-35.83%;$13.82M $13,820,951;$106,401 113,245 LENFI;14,710,000 LENFI
25;4422;FREN FREN;$0.000007856;+1.71%;-14.28%;-46.47%;$3.51M $3,507,419;$74,673 8,943,279,190 FREN;420,069,000,000 FREN
26;4563;Axo AXO;$4.14;-0.56%;+4.18%;-32.10%;$5.97M $5,969,382;$23,069 5,653 AXO;1,462,887 AXO
27;4782;NMKR NMKR;$0.002114;+2.02%;+1.00%;-29.04%;$5.21M $5,210,626;$5,948 2,869,082 NMKR;2,513,528,369 NMKR
28;4853;Charli3 C3;$0.1157;+0.00%;+8.54%;-11.21%;--;$13,223 114,314 C3;0 C3
29;4921;Ardana DANA;$0.001772;-0.02%;-0.38%;-26.21%;--;$14,372 8,119,868 DANA;0 DANA
