;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;3;Tether USDT;$1.00;+0.00%;+0.03%;+0.01%;$109.08B $109,079,083,585;$63,832,217,418 63,808,278,024 USDT;109,031,963,305 USDT
1;5;Solana SOL;$143.23;+1.54%;+6.41%;-17.18%;$64B $63,997,804,878;$4,168,610,669 29,592,771 SOL;446,820,711 SOL
2;16;Chainlink LINK;$13.94;+0.92%;+5.20%;-20.39%;$8.18B $8,181,603,330;$348,269,542 25,145,916 LINK;587,099,970 LINK
3;36;Render RNDR;$7.96;+0.75%;+2.56%;-11.57%;$3.06B $3,058,359,236;$170,059,260 21,608,345 RNDR;384,361,224 RNDR
4;43;dogwifhat WIF;$2.58;-0.02%;+4.81%;-25.91%;$2.58B $2,576,313,532;$483,413,174 188,725,895 WIF;998,906,170 WIF
5;44;The Graph GRT;$0.2569;-0.11%;+4.97%;-17.13%;$2.42B $2,421,466,325;$88,889,739 348,524,945 GRT;9,482,385,683 GRT
6;55;Arweave AR;$25.33;-0.32%;+2.28%;-17.26%;$1.65B $1,650,386,011;$56,375,922 2,240,649 AR;65,454,185 AR
7;62;Jupiter JUP;$1.03;+1.88%;+7.42%;-18.15%;$1.4B $1,398,741,980;$193,106,324 189,361,514 JUP;1,350,000,000 JUP
8;76;Wormhole W;$0.5977;+1.48%;+4.43%;-24.31%;$1.07B $1,072,803,808;$130,679,917 220,873,216 W;1,800,000,000 W
9;83;Bonk BONK;$0.00001487;+0.82%;+5.37%;-31.36%;$966.01M $966,005,736;$89,998,641 6,106,099,088,573 BONK;65,191,332,386,576 BONK
10;88;Pyth Network PYTH;$0.6138;+0.20%;+4.34%;-20.34%;$920.73M $920,727,842;$67,157,583 110,290,213 PYTH;1,499,989,007 PYTH
11;110;Helium HNT;$4.07;+1.48%;-3.59%;-32.39%;$653.22M $653,215,372;$19,870,144 4,902,674 HNT;160,875,442 HNT
12;117;Terra Classic LUNC;$0.0001012;+0.30%;+1.85%;-21.67%;$588.65M $588,652,181;$21,873,099 216,995,847,509 LUNC;5,823,644,479,247 LUNC
13;129;cat in a dogs world MEW;$0.005842;+8.71%;+2.77%;+47.08%;$519.17M $519,167,032;$198,028,774 34,079,000,486 MEW;88,888,888,888 MEW
14;131;BOOK OF MEME BOME;$0.00941;+0.64%;+0.71%;-25.51%;$516.54M $516,544,172;$305,107,265 32,876,952,417 BOME;55,199,727,655 BOME
15;138;GMT GMT;$0.2402;+0.31%;+2.00%;-15.41%;$464.68M $464,681,896;$60,298,346 252,874,961 GMT;1,938,791,968 GMT
