;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;15;TRON TRX;$0.1093;+0.13%;-0.78%;-9.29%;$9.57B $9,573,535,449;$358,122,084 3,278,392,430 TRX;87,611,180,280 TRX
1;72;BitTorrent (New) BTT;$0.000001283;+0.45%;+2.23%;-15.94%;$1.24B $1,242,574,748;$38,642,426 30,300,939,896,719 BTT;968,246,428,571,000 BTT
2;144;APENFT NFT;$0.0...04514;-0.03%;-0.59%;-15.54%;$446.93M $446,933,404;$24,365,459 53,935,273,537,933 NFT;990,105,682,877,398 NFT
3;200;JUST JST;$0.03251;+0.06%;+1.56%;-24.68%;$289.39M $289,388,185;$33,364,670 1,024,311,669 JST;8,902,080,000 JST
4;353;Sun (New) SUN;$0.0136;+0.06%;+1.10%;-10.91%;$134.77M $134,769,440;$24,084,433 1,771,847,061 SUN;9,908,522,472 SUN
5;393;WINkLink WIN;$0.0001208;-0.06%;+2.99%;-23.41%;$116.42M $116,420,523;$28,039,838 231,381,629,651 WIN;961,737,300,000 WIN
6;598;Measurable Data Token MDT;$0.07586;+0.48%;+1.33%;-26.53%;$51.29M $51,293,401;$8,141,544 107,206,273 MDT;676,157,013 MDT
7;1142;OpenOcean OOE;$0.01617;+0.18%;+1.67%;-21.68%;$8.16M $8,162,636;$208,566 12,908,872 OOE;504,425,832 OOE
8;1353;Coconut Chicken CCC;$0.0004155;-2.58%;+41.35%;-7.65%;$3.88M $3,880,822;$212,854 512,950,229 CCC;9,339,544,772 CCC
9;1371;GMCoin GMCOIN;$0.08667;-0.22%;+1.00%;-24.23%;$3.57M $3,569,196;$78,072 897,783 GMCOIN;41,183,481 GMCOIN
10;2448;HTX HTX;$0.00000136;+0.03%;+0.84%;-10.66%;$1.36B $1,360,720,019;$29,704,941 21,830,092,543,938 HTX;999,990,000,000,000 HTX
11;2755;CashBackPro CBP;$7.28;+0.46%;+4.49%;-38.42%;$655.48M $655,481,753;$1,028,058 141,511 CBP;90,226,198 CBP
12;3532;PayNet Coin PAYN;$0.3734;-0.00%;-0.22%;-2.25%;$147.5M $147,495,527;$141,524 379,007 PAYN;395,000,000 PAYN
13;4518;Companion Pet Coin CPC;$0.1404;+0.21%;+0.20%;+0.04%;$115.25M $115,251,509;$24,777 176,501 CPC;821,010,724 CPC
14;6248;TTcoin TC;$0.0001474;+0.26%;+3.85%;-9.02%;$334,288.08 $334,288;$880 5,968,420 TC;2,268,464,523 TC
15;6981;BULL BULL;$0.000008018;+0.06%;+2.39%;-9.36%;$80,175.55 $80,176;$166 20,704,566 BULL;10,000,000,000 BULL
16;7571;Staked USDT STUSDT;$0.9951;-0.00%;-0.04%;+0.06%;$432.56M $432,560,349;$34 35 STUSDT;434,710,963 STUSDT
17;8416;Power Cash PRCH;$0.0...07115;+0.07%;+8.31%;-0.61%;--;$0 13 PRCH;0 PRCH
18;8821;United UTED;$0.0004144;+0.00%;+0.04%;-11.72%;--;--;0 UTED
19;8883;UMI UMI;$0.0009434;+0.00%;+0.05%;+0.02%;$552,948.07 $552,948;--;586,141,472 UMI
20;9048;Ruby Currency RBC;$0.9004;-0.00%;+0.05%;+0.02%;$45.77M $45,765,417;--;50,822,356 RBC
21;--;FIRST INTERCHANGEABLE TOKEN FIT;--;--;--;--;--;--;--
22;--;Didcoin DID;--;--;--;--;--;--;--
23;--;Smashchain SAS;--;--;--;--;--;--;--
24;--;New Earth Order Money NEOM;--;--;--;--;--;--;--
25;--;Relbit RLB;--;--;--;--;--;--;--
26;--;Bybyecar BBC;--;--;--;--;--;--;--
