;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,572.21;+0.40%;+3.57%;-9.24%;$1.25T $1,251,499,648,707;$36,123,502,819 568,216 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,071.63;+0.36%;+2.78%;-12.28%;$368.76B $368,756,864,145;$15,290,166,737 4,974,197 ETH;120,072,117 ETH
2;4;BNB BNB;$550.59;+0.09%;+2.79%;-9.02%;$82.3B $82,302,731,859;$1,441,577,439 2,611,764 BNB;149,485,513 BNB
3;5;Solana SOL;$142.91;+1.61%;+7.74%;-17.16%;$63.85B $63,854,803,686;$4,202,097,680 29,452,246 SOL;446,820,711 SOL
4;21;UNUS SED LEO LEO;$5.85;-0.12%;+0.15%;+0.76%;$5.42B $5,424,894,868;$2,391,353 408,333 LEO;926,591,565 LEO
5;23;Uniswap UNI;$7.33;+1.01%;+6.18%;-19.85%;$4.39B $4,386,472,419;$139,987,756 19,181,475 UNI;598,736,140 UNI
6;29;OKB OKB;$55.65;-0.53%;+0.76%;-1.90%;$3.34B $3,338,795,703;$9,925,512 178,609 OKB;60,000,000 OKB
7;35;Render RNDR;$7.95;+1.13%;+3.66%;-11.46%;$3.06B $3,055,465,155;$169,052,021 21,291,228 RNDR;384,361,224 RNDR
8;39;Immutable IMX;$2.02;+0.71%;+8.54%;-20.75%;$2.9B $2,896,925,091;$62,422,464 30,797,255 IMX;1,431,285,079 IMX
9;70;Aave AAVE;$85.57;+0.34%;+2.21%;-27.46%;$1.27B $1,266,859,561;$74,577,466 868,887 AAVE;14,804,816 AAVE
10;86;Synthetix SNX;$2.87;+0.86%;+2.91%;-25.31%;$941.72M $941,722,881;$34,355,928 11,969,082 SNX;327,769,196 SNX
11;131;Curve DAO Token CRV;$0.4334;+0.18%;+1.49%;-28.07%;$514.78M $514,778,663;$53,917,616 124,152,313 CRV;1,187,755,056 CRV
12;137;1inch Network 1INCH;$0.4094;+0.46%;+7.36%;-25.59%;$473.61M $473,610,728;$29,446,235 71,903,861 1INCH;1,157,154,901 1INCH
13;145;Compound COMP;$54.10;+0.36%;+3.93%;-22.65%;$438.81M $438,809,069;$25,880,216 477,675 COMP;8,111,171 COMP
14;155;FTX Token FTT;$1.26;+0.36%;+2.68%;-28.16%;$416.05M $416,047,358;$9,688,739 7,646,021 FTT;328,895,104 FTT
15;248;yearn.finance YFI;$6,995.45;+0.62%;+3.96%;-16.19%;$233.4M $233,404,665;$23,096,249 3,313 YFI;33,374 YFI
