;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;7;XRP XRP;$0.5027;+0.28%;+1.58%;-17.28%;$27.71B $27,714,833,968;$1,424,944,711 2,843,130,983 XRP;55,129,144,019 XRP
1;13;Polkadot DOT;$6.79;+0.43%;+3.14%;-18.64%;$9.75B $9,749,658,245;$178,964,399 26,491,694 DOT;1,435,199,489 DOT
2;18;NEAR Protocol NEAR;$5.70;+0.64%;+5.17%;-15.89%;$6.08B $6,083,802,164;$603,009,727 103,394,802 NEAR;1,066,538,745 NEAR
3;28;Stacks STX;$2.45;+0.32%;+8.27%;-17.46%;$3.56B $3,562,466,020;$146,265,960 60,134,306 STX;1,453,311,822 STX
4;40;Immutable IMX;$2.02;+0.57%;+8.35%;-20.76%;$2.89B $2,893,985,793;$62,410,525 31,254,768 IMX;1,431,285,079 IMX
5;55;Arweave AR;$25.12;-0.16%;+2.44%;-17.91%;$1.64B $1,644,153,144;$55,961,099 2,246,941 AR;65,454,185 AR
6;61;Algorand ALGO;$0.175;+0.32%;+3.65%;-23.00%;$1.42B $1,422,581,583;$54,002,417 309,994,589 ALGO;8,130,165,368 ALGO
7;76;Wormhole W;$0.5937;+0.56%;+4.74%;-23.33%;$1.07B $1,068,533,781;$131,221,118 222,310,393 W;1,800,000,000 W
8;102;Kava KAVA;$0.6715;+0.46%;+4.23%;-27.64%;$727.18M $727,179,656;$18,998,064 28,471,199 KAVA;1,082,860,622 KAVA
9;111;Oasis Network ROSE;$0.09585;+0.91%;+5.96%;-23.20%;$643.64M $643,639,488;$25,236,607 269,017,405 ROSE;6,713,599,876 ROSE
10;117;Terra Classic LUNC;$0.0001009;+0.31%;+2.62%;-21.74%;$587.65M $587,649,038;$21,837,356 215,170,362,732 LUNC;5,823,644,479,247 LUNC
11;131;SKALE SKL;$0.09168;+0.02%;-1.90%;-20.02%;$489.46M $489,463,377;$41,786,674 436,894,419 SKL;5,339,102,671 SKL
12;140;Enjin Coin ENJ;$0.3276;+0.53%;+3.29%;-26.11%;$451.85M $451,849,962;$18,138,783 55,498,734 ENJ;1,379,841,766 ENJ
13;159;aelf ELF;$0.5581;+0.09%;+2.11%;-12.28%;$405.49M $405,487,099;$7,537,195 13,500,133 ELF;726,537,296 ELF
14;173;Casper CSPR;$0.03068;+0.12%;+2.16%;-14.72%;$366.5M $366,495,770;$8,788,253 288,085,861 CSPR;11,947,414,441 CSPR
15;227;Propy PRO;$3.25;-3.80%;+27.40%;-10.46%;$324.91M $324,910,845;$11,900,524 3,987,738 PRO;100,000,000 PRO
16;235;Moonbeam GLMR;$0.3054;+0.23%;+3.32%;-29.21%;$261.78M $261,782,275;$7,723,700 25,275,151 GLMR;857,245,910 GLMR
17;;Decentralized Social DESO;$  24.23;;;;;;
18;;Celer Network CELR;$  0.03;;;;;;
19;;Marlin POND;$  0.02;;;;;;
20;;Acala Token ACA;$  0.11;;;;;;
21;;Hifi Finance HIFI;$  0.79;;;;;;
22;;Shentu CTK;$  0.71;;;;;;
23;;ARPA ARPA;$  0.07;;;;;;
24;;BENQI QI;$  0.02;;;;;;
25;;LeverFi LEVER;$  0.00;;;;;;
26;;LimeWire LMWR;$  1.03;;;;;;
27;;RAMP RAMP;$  0.09;;;;;;
28;;Cere Network CERE;$  0.01;;;;;;
29;;Ampleforth AMPL;$  0.99;;;;;;
30;;MobileCoin MOB;$  0.09;;;;;;
31;;Anchor Protocol ANC;$  0.02;;;;;;
32;;Unbound UNB;$  0.00;;;;;;
33;;Mirror Protocol MIR;$  0.06;;;;;;
34;;Multiverse AI;$  0.00;;;;;;
35;;Moss Carbon Credit MCO2;$  0.72;;;;;;
36;;NuCypher NU;$  0.11;;;;;;
37;;NXM NXM;$  --;;;;;;
38;;Unbound Dollar UND;$  --;;;;;;
39;;Swing SWNG;$  --;;;;;;
