;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,521.15;+0.11%;+3.66%;-9.20%;$1.25T $1,250,506,701,072;$36,091,202,140 567,141 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,070.04;+0.21%;+2.96%;-12.24%;$368.63B $368,626,310,839;$15,246,003,551 4,953,938 ETH;120,072,117 ETH
2;17;Polygon MATIC;$0.6789;+0.35%;+1.49%;-22.45%;$6.72B $6,717,826,580;$297,541,771 437,359,261 MATIC;9,894,741,867 MATIC
3;24;Aptos APT;$9.47;+0.14%;+3.36%;-19.66%;$4.03B $4,028,058,246;$209,678,527 22,040,399 APT;425,227,700 APT
4;42;Injective INJ;$27.72;-0.36%;+5.65%;-12.55%;$2.59B $2,588,762,086;$177,977,495 6,390,873 INJ;93,400,000 INJ
5;57;Sui SUI;$1.26;+0.50%;-0.41%;-15.38%;$1.63B $1,626,750,201;$298,259,974 237,229,806 SUI;1,295,901,469 SUI
6;69;Ethena ENA;$0.9159;+0.56%;-0.65%;-32.94%;$1.31B $1,305,125,293;$603,344,925 654,894,153 ENA;1,425,000,000 ENA
7;72;BitTorrent (New) BTT;$0.000001284;+0.83%;+2.64%;-16.29%;$1.24B $1,243,342,862;$38,641,376 30,101,147,540,369 BTT;968,246,428,571,000 BTT
8;73;MultiversX EGLD;$40.86;+0.32%;+3.21%;-20.86%;$1.1B $1,096,306,719;$25,154,521 614,112 EGLD;26,833,769 EGLD
9;100;Axelar AXL;$1.20;-0.34%;+3.55%;-9.77%;$756.1M $756,100,174;$30,306,465 25,318,636 AXL;632,703,134 AXL
10;101;Kava KAVA;$0.6719;+0.47%;+4.41%;-27.49%;$727.57M $727,565,274;$18,980,397 28,228,742 KAVA;1,082,860,622 KAVA
11;111;Oasis Network ROSE;$0.09593;+0.97%;+6.25%;-22.97%;$644.03M $644,028,661;$25,199,699 262,406,931 ROSE;6,713,599,876 ROSE
12;117;Terra Classic LUNC;$0.0001009;+0.17%;+2.85%;-21.67%;$587.71M $587,712,056;$21,832,101 215,726,201,492 LUNC;5,823,644,479,247 LUNC
13;137;1inch Network 1INCH;$0.4089;+0.31%;+7.35%;-25.55%;$473.12M $473,116,086;$29,435,069 71,697,311 1INCH;1,157,154,901 1INCH
14;139;Manta Network MANTA;$1.83;+0.10%;+0.09%;-30.90%;$458.9M $458,902,024;$58,962,338 32,117,966 MANTA;251,000,000 MANTA
15;157;Altlayer ALT;$0.3765;+0.14%;+1.15%;-32.49%;$414.19M $414,194,581;$55,029,620 145,479,940 ALT;1,100,000,000 ALT
16;171;Biconomy BICO;$0.5174;+0.65%;+2.92%;-26.38%;$373.76M $373,756,490;$10,128,220 19,521,734 BICO;722,433,628 BICO
17;;Arkham ARKM;$  1.70;;;;;;
18;;Ethena USDe USDe;$  1.00;;;;;;
19;;Harmony ONE;$  0.02;;;;;;
20;;Moonbeam GLMR;$  0.31;;;;;;
21;;Audius AUDIO;$  0.18;;;;;;
22;;Band Protocol BAND;$  1.49;;;;;;
23;;Solar SXP;$  0.34;;;;;;
24;;Neutron NTRN;$  0.72;;;;;;
25;;Marlin POND;$  0.02;;;;;;
26;;CyberConnect CYBER;$  8.70;;;;;;
27;;Cartesi CTSI;$  0.20;;;;;;
28;;Covalent CQT;$  0.22;;;;;;
29;;Hooked Protocol HOOK;$  0.93;;;;;;
30;;WINkLink WIN;$  0.00;;;;;;
31;;Radiant Capital RDNT;$  0.21;;;;;;
32;;Shentu CTK;$  0.70;;;;;;
33;;Heroes of Mavia MAVIA;$  2.94;;;;;;
34;;Numbers Protocol NUM;$  0.10;;;;;;
35;;Cere Network CERE;$  0.01;;;;;;
36;;HOPR HOPR;$  0.11;;;;;;
37;;pSTAKE Finance PSTAKE;$  0.09;;;;;;
38;;Tranchess CHESS;$  0.21;;;;;;
39;;Nine Chronicles WNCG;$  0.08;;;;;;
40;;Magic Square SQR;$  0.41;;;;;;
41;;Push Protocol PUSH;$  0.22;;;;;;
42;;OpenLeverage OLE;$  0.07;;;;;;
43;;OpenOcean OOE;$  0.02;;;;;;
44;;Mint Club MINT;$  0.00;;;;;;
45;;Polyhedra Network ZK;$  1.80;;;;;;
46;;pufETH PUFETH;$  3051.07;;;;;;
47;;Arcas ARCAS;$  0.14;;;;;;
48;;Cred LBA;$  0.00;;;;;;
49;;SecondLive LIVE;$  --;;;;;;
50;;LayerZero ZRO;$  --;;;;;;
51;;Xterio XTER;$  --;;;;;;
52;;Axelar WAXL;$  --;;;;;;
53;;Unagi Token UNA;$  --;;;;;;
54;;BounceBit BB;$  --;;;;;;
