;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,532.33;+0.12%;+3.68%;-9.19%;$1.25T $1,250,880,514,571;$36,088,133,404 567,528 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,069.99;+0.21%;+2.96%;-12.24%;$368.72B $368,722,630,079;$15,245,021,950 4,961,914 ETH;120,072,117 ETH
2;13;Polkadot DOT;$6.78;+0.22%;+3.11%;-18.72%;$9.74B $9,737,537,143;$179,240,811 26,315,106 DOT;1,435,199,489 DOT
3;23;Uniswap UNI;$7.31;+0.81%;+6.31%;-19.69%;$4.38B $4,378,794,146;$139,868,144 19,159,409 UNI;598,736,140 UNI
4;28;Stacks STX;$2.45;-0.26%;+8.47%;-17.43%;$3.56B $3,562,935,019;$146,174,891 59,590,930 STX;1,453,311,822 STX
5;31;Filecoin FIL;$6.02;+0.59%;+3.01%;-24.91%;$3.25B $3,249,304,959;$193,497,573 32,088,366 FIL;539,740,525 FIL
6;55;Arweave AR;$25.13;-0.10%;+2.58%;-17.85%;$1.65B $1,645,257,736;$55,731,406 2,207,267 AR;65,454,185 AR
7;70;Aave AAVE;$85.53;+0.21%;+2.30%;-27.36%;$1.27B $1,266,271,041;$74,530,818 869,903 AAVE;14,804,816 AAVE
8;84;Worldcoin WLD;$5.01;+0.11%;+5.97%;-20.87%;$954.49M $954,485,758;$254,540,060 50,542,241 WLD;190,564,386 WLD
9;93;Nervos Network CKB;$0.0201;+0.47%;-4.97%;-29.27%;$883.99M $883,986,767;$91,604,313 4,514,418,461 CKB;43,985,099,058 CKB
10;111;Oasis Network ROSE;$0.09602;+1.10%;+6.34%;-22.90%;$644.67M $644,672,505;$25,202,939 262,955,780 ROSE;6,713,599,876 ROSE
11;137;1inch Network 1INCH;$0.4087;+0.27%;+7.30%;-25.58%;$472.93M $472,928,700;$29,433,744 71,744,333 1INCH;1,157,154,901 1INCH
12;149;0x Protocol ZRX;$0.5056;+0.20%;+3.59%;-20.64%;$428.49M $428,491,071;$29,234,049 57,633,547 ZRX;847,496,055 ZRX
13;248;yearn.finance YFI;$6,987.70;+0.52%;+3.99%;-16.09%;$233.21M $233,208,097;$23,060,569 3,298 YFI;33,374 YFI
14;251;SushiSwap SUSHI;$0.9716;+0.06%;+2.53%;-31.29%;$229.41M $229,409,159;$31,751,977 32,579,651 SUSHI;236,122,088 SUSHI
15;265;UMA UMA;$2.63;+0.47%;+2.69%;-25.79%;$209.97M $209,971,298;$9,912,618 3,755,816 UMA;79,768,723 UMA
16;416;Orchid OXT;$0.1072;+0.71%;+5.02%;-20.57%;$105.03M $105,025,066;$3,568,545 33,232,189 OXT;979,779,108 OXT
17;453;Forta FORT;$0.231;+0.03%;-2.96%;+14.19%;$89.72M $89,721,476;$3,382,669 14,469,682 FORT;388,388,554 FORT
18;480;Badger DAO BADGER;$4.34;+0.36%;+3.09%;-25.75%;$83.42M $83,419,216;$8,283,550 1,905,940 BADGER;19,241,287 BADGER
19;2629;Chainflip FLIP;$3.29;-0.53%;-5.37%;-31.47%;$56.74M $56,739,742;$1,986,360 604,205 FLIP;17,258,935 FLIP
