;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;13;Polkadot DOT;$6.79;+0.43%;+3.14%;-18.64%;$9.75B $9,749,433,151;$178,964,399 26,276,332 DOT;1,435,199,489 DOT
1;18;NEAR Protocol NEAR;$5.70;+0.65%;+5.16%;-15.90%;$6.08B $6,083,609,366;$603,009,727 105,276,974 NEAR;1,066,538,745 NEAR
2;44;The Graph GRT;$0.2555;+0.16%;+5.88%;-17.32%;$2.42B $2,422,285,243;$87,590,647 342,306,420 GRT;9,482,385,683 GRT
3;66;Flow FLOW;$0.8787;+0.52%;+3.91%;-25.82%;$1.32B $1,319,738,697;$56,213,522 63,835,610 FLOW;1,501,883,814 FLOW
4;150;Livepeer LPT;$13.40;-0.10%;+14.52%;-12.63%;$426.26M $426,261,063;$59,677,060 4,411,260 LPT;31,817,769 LPT
5;243;Kadena KDA;$0.8955;+0.68%;+4.21%;-25.88%;$242.57M $242,568,876;$8,213,165 9,110,582 KDA;270,885,156 KDA
6;259;Balancer BAL;$3.86;+0.32%;+2.98%;-20.86%;$216.93M $216,927,360;$6,963,374 1,799,218 BAL;56,207,134 BAL
7;280;Neutron NTRN;$0.7163;+0.18%;+4.33%;-30.56%;$200.18M $200,183,176;$9,994,579 13,900,263 NTRN;279,515,066 NTRN
8;282;API3 API3;$2.31;+0.09%;+2.76%;-27.14%;$199.96M $199,960,858;$11,293,410 4,864,432 API3;86,421,978 API3
9;325;Numeraire NMR;$24.85;+0.63%;+5.79%;-24.43%;$155.99M $155,991,398;$5,204,970 209,205 NMR;6,278,303 NMR
10;440;RARI RARI;$4.03;+1.91%;+4.78%;-26.17%;$95.96M $95,958,461;$1,583,242 394,216 RARI;23,834,553 RARI
11;1036;Serum SRM;$0.04367;-0.66%;+6.04%;-22.70%;$11.52M $11,522,026;$1,420,814 32,454,958 SRM;263,244,669 SRM
12;1092;NFTX NFTX;$15.44;+0.12%;+0.46%;-14.77%;$9.37M $9,367,976;$24,606 1,590 NFTX;606,672 NFTX
13;4625;HXRO HXRO;$0.07833;+0.29%;+0.55%;-17.58%;$47.8M $47,802,756;$21,444 273,811 HXRO;610,385,617 HXRO
14;5456;NuCypher NU;$0.1088;-0.08%;+3.76%;-26.79%;$150.23M $150,229,124;$4,649 42,724 NU;1,380,688,920 NU
