;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;23;Uniswap UNI;$7.30;+0.32%;+6.14%;-20.02%;$4.37B $4,368,858,707;$139,708,553 19,159,547 UNI;598,736,140 UNI
1;70;Aave AAVE;$85.45;-0.14%;+2.28%;-27.51%;$1.27B $1,265,038,112;$74,484,831 870,272 AAVE;14,804,816 AAVE
2;79;Axie Infinity AXS;$7.08;+0.04%;+2.57%;-25.61%;$1.02B $1,015,533,768;$40,639,602 5,722,855 AXS;143,346,853 AXS
3;86;Synthetix SNX;$2.87;+0.37%;+2.83%;-25.58%;$939.25M $939,253,370;$33,817,256 11,779,131 SNX;327,769,196 SNX
4;250;SushiSwap SUSHI;$0.9705;-0.19%;+2.44%;-31.53%;$229.16M $229,159,219;$31,731,259 32,561,574 SUSHI;236,122,088 SUSHI
5;431;Stella ALPHA;$0.1154;-0.26%;+2.92%;-32.38%;$100.03M $100,032,639;$4,714,374 40,849,574 ALPHA;870,000,000 ALPHA
6;442;DODO DODO;$0.1541;+0.29%;+0.79%;-33.67%;$94.56M $94,557,669;$5,187,403 33,662,628 DODO;614,617,713 DODO
7;570;Beta Finance BETA;$0.07183;-0.48%;+0.89%;-22.65%;$57.36M $57,357,321;$4,554,136 63,143,770 BETA;798,484,848 BETA
8;1071;Carbon Protocol SWTH;$0.006362;+0.06%;-8.30%;-28.65%;$10.32M $10,318,240;$5,494 863,577 SWTH;1,585,510,090 SWTH
9;1205;mStable Governance Token: Meta (MTA) MTA;$0.107;+2.33%;+185.87%;-43.52%;$6.77M $6,767,261;$229,407 2,144,417 MTA;63,851,860 MTA
10;1609;InsurAce INSUR;$0.03321;-0.39%;+5.02%;-28.37%;$1.49M $1,492,134;$133,153 4,009,226 INSUR;44,891,926 INSUR
11;1814;Furucombo COMBO;$0.01572;-0.29%;+19.38%;-11.65%;$637,797.82 $637,798;$17,818 1,126,546 COMBO;40,569,925 COMBO
12;3417;Index Cooperative INDEX;$4.11;+0.71%;+3.02%;-29.35%;$27.51M $27,506,270;$187,017 45,736 INDEX;6,726,859 INDEX
13;3573;Jet Protocol JET;$0.002051;-0.00%;-0.45%;-3.71%;$3.49M $3,486,323;$130,960 63,858,587 JET;1,700,000,000 JET
14;--;BounceBit BB;--;--;--;--;--;--;--
