;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,546.97;+0.33%;+3.65%;-9.05%;$1.25T $1,251,015,076,778;$36,111,054,162 568,116 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,070.28;+0.31%;+2.82%;-12.07%;$368.66B $368,655,537,653;$15,268,914,758 4,970,218 ETH;120,072,117 ETH
2;13;Polkadot DOT;$6.79;+0.43%;+3.14%;-18.64%;$9.75B $9,749,404,094;$178,982,247 26,279,279 DOT;1,435,199,489 DOT
3;18;NEAR Protocol NEAR;$5.71;+0.67%;+5.19%;-15.88%;$6.08B $6,084,882,434;$602,895,531 105,242,382 NEAR;1,066,538,745 NEAR
4;28;Stacks STX;$2.45;-0.34%;+8.29%;-17.45%;$3.56B $3,563,041,047;$146,265,960 59,631,425 STX;1,453,311,822 STX
5;44;The Graph GRT;$0.2556;-0.21%;+5.93%;-17.28%;$2.42B $2,423,440,701;$87,535,594 342,708,863 GRT;9,482,385,683 GRT
6;97;Decentraland MANA;$0.4354;+0.72%;+2.30%;-28.16%;$830.89M $830,885,733;$58,720,264 134,722,568 MANA;1,908,319,865 MANA
7;134;Ocean Protocol OCEAN;$0.869;-0.49%;+4.16%;-18.15%;$493.92M $493,919,058;$31,555,267 36,276,560 OCEAN;568,381,103 OCEAN
8;137;1inch Network 1INCH;$0.4089;+0.29%;+7.23%;-25.67%;$473.17M $473,167,072;$29,440,558 71,858,129 1INCH;1,157,154,901 1INCH
9;149;0x Protocol ZRX;$0.5055;+0.23%;+3.44%;-20.76%;$428.38M $428,379,114;$29,267,399 57,731,889 ZRX;847,496,055 ZRX
10;273;RSS3 RSS3;$0.3741;+0.38%;+6.60%;-4.07%;$204.03M $204,029,444;$7,647,406 20,424,828 RSS3;545,359,116 RSS3
11;331;Keep Network KEEP;$0.1611;+0.33%;-0.07%;-24.56%;$153.23M $153,230,567;$15,686 96,967 KEEP;951,288,242 KEEP
12;337;Status SNT;$0.03811;+0.32%;+4.50%;-20.89%;$147.76M $147,759,327;$4,102,601 107,382,750 SNT;3,877,437,279 SNT
13;383;Hashflow HFT;$0.3066;+0.32%;+2.60%;-23.54%;$118.73M $118,725,721;$15,177,108 49,352,760 HFT;387,234,311 HFT
14;416;Orchid OXT;$0.1072;+0.72%;+4.91%;-20.61%;$105.04M $105,042,795;$3,568,352 33,307,130 OXT;979,779,108 OXT
15;455;Radworks RAD;$1.74;+0.16%;+2.64%;-30.12%;$89.87M $89,870,551;$5,065,874 2,901,227 RAD;51,622,094 RAD
16;565;Streamr DATA;$0.05729;+0.91%;+5.01%;-24.49%;$58.95M $58,946,013;$3,159,037 55,000,427 DATA;1,028,693,853 DATA
17;5413;Raiden Network Token RDN;$0.01814;+3.56%;+10.07%;-17.11%;--;$5,627 310,154 RDN;--
18;;Bloom BLT;$  --;;;;;;
