;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;13;Polkadot DOT;$6.78;+0.22%;+3.11%;-18.72%;$9.74B $9,736,620,124;$179,240,811 26,315,106 DOT;1,435,199,489 DOT
1;20;Internet Computer ICP;$12.89;+1.40%;+8.65%;-16.62%;$5.97B $5,968,688,650;$145,408,721 11,384,697 ICP;462,882,063 ICP
2;38;VeChain VET;$0.03975;-0.01%;+4.23%;-17.00%;$2.89B $2,890,566,757;$73,564,235 1,841,145,392 VET;72,714,516,834 VET
3;96;EOS EOS;$0.7622;+0.17%;+4.34%;-31.69%;$856.24M $856,235,578;$120,015,721 157,109,961 EOS;1,123,400,647 EOS
4;162;Siacoin SC;$0.00704;+0.36%;+2.96%;-24.94%;$401.18M $401,183,870;$14,998,011 2,126,261,546 SC;56,988,350,306 SC
5;171;Biconomy BICO;$0.5172;+0.65%;+2.91%;-26.40%;$373.51M $373,512,166;$10,129,677 19,550,723 BICO;722,433,628 BICO
6;178;Zcash ZEC;$22.06;+0.20%;+5.01%;-16.42%;$360.02M $360,017,991;$52,933,836 2,400,493 ZEC;16,328,269 ZEC
7;360;NYM NYM;$0.1826;-0.06%;+0.87%;-19.03%;$130.97M $130,969,451;$1,903,559 10,416,381 NYM;717,197,731 NYM
8;1556;TenX PAY;$0.00906;+2.58%;-1.85%;-6.18%;$1.86M $1,859,445;$8,010 883,954 PAY;205,218,256 PAY
9;2552;Connext Network NEXT;$0.1823;-0.02%;-0.07%;-18.11%;$19.52M $19,524,387;$3,603,306 19,747,290 NEXT;107,000,000 NEXT
10;3606;BitDAO BIT;$1.17;+0.74%;+1.87%;-11.49%;$2.16B $2,156,093,386;$124,235 106,233 BIT;1,843,669,839 BIT
11;4213;BlockchainSpace GUILD;$0.005286;+0.12%;+0.22%;-16.20%;$1.62M $1,623,082;$42,278 7,997,442 GUILD;307,026,054 GUILD
12;5703;Ripio Credit Network RCN;$0.002206;+0.02%;-0.53%;-22.39%;--;$2,937 1,331,412 RCN;--
13;--;Factom FCT;--;--;--;--;--;--;--
14;--;Tierion TNT;--;--;--;--;--;--;--
