;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,540.18;+0.31%;+3.70%;-9.12%;$1.25T $1,250,874,911,660;$36,111,054,162 567,888 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,069.85;+0.31%;+2.92%;-12.21%;$368.6B $368,596,647,640;$15,268,914,758 4,969,691 ETH;120,072,117 ETH
2;4;BNB BNB;$550.74;+0.09%;+2.98%;-8.92%;$82.33B $82,326,992,741;$1,439,061,514 2,610,980 BNB;149,485,513 BNB
3;5;Solana SOL;$142.80;+1.41%;+7.77%;-17.02%;$63.81B $63,807,518,079;$4,201,715,825 29,350,175 SOL;446,820,711 SOL
4;20;Internet Computer ICP;$12.91;+1.55%;+8.82%;-16.49%;$5.98B $5,977,800,120;$145,250,592 11,372,316 ICP;462,882,063 ICP
5;35;Render RNDR;$7.94;+1.03%;+3.57%;-11.40%;$3.05B $3,052,338,577;$169,186,078 21,211,005 RNDR;384,361,224 RNDR
6;44;The Graph GRT;$0.2556;-0.21%;+5.94%;-17.28%;$2.42B $2,423,534,006;$87,535,594 342,517,461 GRT;9,482,385,683 GRT
7;55;Arweave AR;$25.14;-0.09%;+2.52%;-17.85%;$1.65B $1,645,366,411;$55,959,774 2,216,312 AR;65,454,185 AR
8;56;THORChain RUNE;$4.90;-0.57%;+2.60%;-31.53%;$1.64B $1,643,725,158;$470,376,002 96,199,843 RUNE;335,152,902 RUNE
9;58;Sei SEI;$0.524;-0.45%;+4.13%;-20.56%;$1.47B $1,467,218,012;$136,119,416 258,885,831 SEI;2,800,000,000 SEI
10;59;Algorand ALGO;$0.1748;+0.25%;+3.57%;-23.06%;$1.42B $1,421,396,388;$53,997,531 307,831,403 ALGO;8,130,165,368 ALGO
11;76;Wormhole W;$0.5935;+0.50%;+4.71%;-23.35%;$1.07B $1,068,336,202;$131,198,428 219,808,244 W;1,800,000,000 W
12;93;Nervos Network CKB;$0.02014;+0.79%;-4.92%;-29.03%;$885.67M $885,666,269;$91,602,765 4,514,342,175 CKB;43,985,099,058 CKB
13;110;Helium HNT;$4.06;+0.01%;-4.33%;-32.36%;$653.51M $653,510,470;$19,525,944 4,805,520 HNT;160,875,442 HNT
14;150;Livepeer LPT;$13.39;-0.13%;+14.48%;-12.66%;$426.13M $426,128,780;$59,668,487 4,439,421 LPT;31,817,769 LPT
15;244;Kadena KDA;$0.895;+0.64%;+4.35%;-25.74%;$242.45M $242,446,170;$8,212,170 9,132,667 KDA;270,885,156 KDA
16;258;Audius AUDIO;$0.1825;+0.70%;+4.09%;-29.95%;$220.85M $220,845,376;$5,085,056 27,843,722 AUDIO;1,210,174,852 AUDIO
17;302;CyberConnect CYBER;$8.69;+0.54%;+4.90%;-35.07%;$172.88M $172,880,573;$19,193,917 2,207,084 CYBER;19,901,944 CYBER
18;331;Keep Network KEEP;$0.1611;+0.33%;-0.05%;-24.56%;$153.23M $153,230,244;$15,686 96,965 KEEP;951,288,242 KEEP
19;430;Huobi Token HT;$0.6197;+0.22%;+6.49%;-17.88%;$100.54M $100,542,759;$733,598 1,176,785 HT;162,233,844 HT
20;431;Stella ALPHA;$0.1151;+0.17%;+3.61%;-32.26%;$100.13M $100,127,591;$4,722,610 40,870,929 ALPHA;870,000,000 ALPHA
21;518;Perpetual Protocol PERP;$1.05;+0.44%;+2.36%;-28.47%;$69.25M $69,252,966;$8,076,332 7,681,147 PERP;66,002,157 PERP
22;570;Beta Finance BETA;$0.07177;-0.12%;+0.59%;-22.63%;$57.31M $57,309,049;$4,550,463 63,083,242 BETA;798,484,848 BETA
23;741;RabbitX RBX;$0.08096;+3.12%;+21.37%;-4.56%;$29.5M $29,496,623;$113,276 1,366,902 RBX;364,345,316 RBX
24;1108;Augur REP;$0.8154;+0.35%;+1.19%;-28.17%;$8.97M $8,969,436;$604,632 742,003 REP;11,000,000 REP
25;1426;saffron.finance SFI;$32.50;+0.56%;+2.72%;-5.04%;$2.97M $2,970,929;$20,391 628 SFI;91,423 SFI
26;1747;Salad SALD;$0.01159;-0.99%;-3.20%;-18.62%;$876,398.69 $876,399;$352,730 30,692,131 SALD;75,610,749 SALD
27;3862;Realy REAL;$0.1016;+0.31%;-0.80%;-19.89%;$507,417.81 $507,418;$80,928 797,448 REAL;5,000,000 REAL
28;--;Qilin Protocol TBA;--;--;--;--;--;--;--
29;--;LayerZero ZRO;--;--;--;--;--;--;--
