;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,521.51;+0.20%;+3.67%;-9.17%;$1.25T $1,250,513,742,185;$36,091,202,140 567,576 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,069.82;+0.24%;+2.95%;-12.25%;$368.6B $368,599,397,257;$15,246,003,551 4,962,234 ETH;120,072,117 ETH
2;7;XRP XRP;$0.5026;+0.28%;+1.66%;-17.26%;$27.71B $27,709,145,935;$1,423,392,189 2,827,688,407 XRP;55,129,144,019 XRP
3;13;Polkadot DOT;$6.79;+0.32%;+3.17%;-18.68%;$9.74B $9,742,209,912;$179,194,249 26,308,270 DOT;1,435,199,489 DOT
4;23;Uniswap UNI;$7.31;+0.84%;+6.30%;-19.68%;$4.38B $4,379,504,373;$139,875,550 19,160,423 UNI;598,736,140 UNI
5;31;Filecoin FIL;$6.02;+0.66%;+3.06%;-24.88%;$3.25B $3,250,485,150;$193,499,770 32,088,730 FIL;539,740,525 FIL
6;36;Arbitrum ARB;$1.14;+0.10%;+3.18%;-19.20%;$3.03B $3,029,427,541;$275,556,465 241,019,844 ARB;2,653,939,384 ARB
7;40;Maker MKR;$3,025.02;-0.62%;-3.98%;-9.61%;$2.8B $2,797,290,337;$116,891,666 38,519 MKR;924,717 MKR
8;42;Injective INJ;$27.72;-0.33%;+5.65%;-12.53%;$2.59B $2,588,594,818;$177,977,495 6,381,899 INJ;93,400,000 INJ
9;70;Aave AAVE;$85.54;+0.24%;+2.32%;-27.35%;$1.27B $1,266,439,834;$74,526,993 869,858 AAVE;14,804,816 AAVE
10;111;Oasis Network ROSE;$0.09593;+0.97%;+6.25%;-22.97%;$644.05M $644,046,008;$25,199,699 262,921,970 ROSE;6,713,599,876 ROSE
11;117;Terra Classic LUNC;$0.0001009;+0.16%;+2.85%;-21.67%;$587.77M $587,773,243;$21,832,101 215,774,018,097 LUNC;5,823,644,479,247 LUNC
12;141;Ankr ANKR;$0.04575;+1.08%;+7.29%;-21.36%;$457.52M $457,524,852;$36,544,765 799,506,469 ANKR;10,000,000,000 ANKR
13;145;Compound COMP;$54.09;+0.32%;+4.24%;-22.56%;$438.73M $438,725,530;$25,887,815 478,054 COMP;8,111,171 COMP
14;149;0x Protocol ZRX;$0.5055;+0.21%;+3.55%;-20.65%;$428.37M $428,373,605;$29,242,383 57,649,977 ZRX;847,496,055 ZRX
15;150;Livepeer LPT;$13.39;-0.39%;+14.51%;-12.58%;$426.18M $426,178,015;$59,678,832 4,440,191 LPT;31,817,769 LPT
16;155;FTX Token FTT;$1.26;+0.34%;+2.81%;-27.98%;$415.95M $415,953,882;$9,683,891 7,638,890 FTT;328,895,104 FTT
17;;Basic Attention Token BAT;$  0.25;;;;;;
18;;Zcash ZEC;$  22.05;;;;;;
19;;Omni Network OMNI;$  25.72;;;;;;
20;;ICON ICX;$  0.23;;;;;;
21;;SushiSwap SUSHI;$  0.97;;;;;;
22;;Audius AUDIO;$  0.18;;;;;;
23;;Balancer BAL;$  3.86;;;;;;
24;;API3 API3;$  2.32;;;;;;
25;;Celer Network CELR;$  0.03;;;;;;
26;;Stride STRD;$  2.17;;;;;;
27;;GuildFi GF;$  0.31;;;;;;
28;;Civic CVC;$  0.17;;;;;;
29;;Kyber Network Crystal v2 KNC;$  0.58;;;;;;
30;;DODO DODO;$  0.15;;;;;;
31;;Maverick Protocol MAV;$  0.38;;;;;;
32;;OMG Network OMG;$  0.65;;;;;;
33;;Origin Protocol OGN;$  0.15;;;;;;
34;;FUNToken FUN;$  0.01;;;;;;
35;;ThunderCore TT;$  0.00;;;;;;
36;;Kin KIN;$  0.00;;;;;;
37;;Ampleforth AMPL;$  1.03;;;;;;
38;;Gifto GFT;$  0.02;;;;;;
39;;Rangers Protocol Gas RPG;$  1.62;;;;;;
40;;Genopets GENE;$  0.31;;;;;;
41;;Handshake HNS;$  0.02;;;;;;
42;;Augur REP;$  0.81;;;;;;
43;;Mirror Protocol MIR;$  0.05;;;;;;
44;;Convergence CONV;$  0.00;;;;;;
45;;Reflexer Ungovernance Token FLX;$  5.01;;;;;;
46;;PowerTrade Fuel PTF;$  0.01;;;;;;
47;;Chainflip FLIP;$  3.29;;;;;;
48;;Enigma ENG;$  0.01;;;;;;
49;;BitDAO BIT;$  1.17;;;;;;
50;;Gems GEM;$  0.00;;;;;;
51;;Notional Finance NOTE;$  0.12;;;;;;
52;;Genopets KI KI;$  0.00;;;;;;
53;;ECO ECO;$  0.02;;;;;;
54;;Kyber Network Crystal Legacy KNCL;$  0.89;;;;;;
55;;MIR COIN MIR;$  0.00;;;;;;
56;;Maecenas ART;$  --;;;;;;
57;;Bloom BLT;$  --;;;;;;
58;;Flexacoin FXC;$  --;;;;;;
