;+#;Nombre;Precio;1h %;24 h %;7d %;Cap. de Mercado;Volumen (24h);Acciones en circulación
0;1;Bitcoin BTC;$63,506.55;+0.07%;+3.69%;-9.25%;$1.25T $1,250,227,780,997;$36,088,133,404 567,425 BTC;19,686,462 BTC
1;2;Ethereum ETH;$3,070.65;+0.21%;+3.02%;-12.23%;$368.69B $368,686,160,846;$15,234,762,413 4,956,256 ETH;120,072,117 ETH
2;13;Polkadot DOT;$6.78;+0.13%;+3.14%;-18.74%;$9.74B $9,737,722,889;$179,326,094 26,327,311 DOT;1,435,199,489 DOT
3;40;Maker MKR;$3,023.58;-0.66%;-3.95%;-9.73%;$2.8B $2,795,894,375;$117,004,586 38,560 MKR;924,717 MKR
4;149;0x Protocol ZRX;$0.5056;+0.15%;+3.64%;-20.66%;$428.5M $428,504,163;$29,225,970 57,612,945 ZRX;847,496,055 ZRX
5;178;Zcash ZEC;$22.05;+0.11%;+4.98%;-16.48%;$359.99M $359,986,317;$52,933,836 2,400,444 ZEC;16,328,269 ZEC
6;179;Aragon ANT;$8.13;-0.19%;+0.97%;-10.81%;$351.08M $351,082,964;$6,106,497 749,616 ANT;43,179,657 ANT
7;185;Decred DCR;$20.53;-0.82%;+2.50%;-12.06%;$328.51M $328,512,889;$2,332,708 113,177 DCR;15,999,586 DCR
8;259;Balancer BAL;$3.86;+0.14%;+2.94%;-20.88%;$216.7M $216,695,011;$6,957,346 1,799,779 BAL;56,207,134 BAL
9;265;UMA UMA;$2.63;+0.36%;+2.77%;-25.89%;$209.96M $209,961,927;$9,912,618 3,755,779 UMA;79,768,723 UMA
10;281;API3 API3;$2.31;-0.04%;+2.79%;-27.07%;$199.89M $199,889,402;$11,283,835 4,860,114 API3;86,421,978 API3
11;325;Numeraire NMR;$24.80;+0.24%;+5.70%;-24.52%;$155.69M $155,688,887;$5,217,121 209,874 NMR;6,278,303 NMR
12;454;Forta FORT;$0.2314;+0.28%;-2.61%;+14.65%;$89.87M $89,866,981;$3,382,669 14,475,411 FORT;388,388,554 FORT
13;456;Radworks RAD;$1.74;+0.10%;+2.75%;-29.98%;$89.86M $89,855,994;$5,063,293 2,899,670 RAD;51,622,094 RAD
14;573;Enzyme MLN;$21.52;-0.20%;+3.98%;-16.76%;$57.37M $57,369,765;$8,745,996 406,252 MLN;2,665,491 MLN
15;--;FOAM FOAM;--;--;--;--;--;--;--
16;--;NXM NXM;--;--;--;--;--;--;--
